RequestId,Date Initiated,Description,Address,Zip Code,Initiated By,Date Time Closed,Status,X Coordinate,Y Coordinate,lon,lat,Request Type,Proactive,Initiated by Resident,Received by Engineer,Resident Contacted,On Hold Pending Other Action,Date In Progress,Date Complete
331861,7/6/2017 2:27,Neighborhood Traffic Issue,2800 NETWORK BLVD,,"Integration, Citysourced",7/10/2017 9:07,CLOSED,2480708.09,7088369.23,33.10319428,-96.82718432,,,,,,,,
332024,7/7/2017 10:58,Neighborhood Traffic Issue,3900 JOHNSON ST,,"Integration, Citysourced",7/13/2017 11:49,CLOSED,2472195.67,7093744.76,33.11833719,-96.85470545,,,,,,,,
333080,7/14/2017 7:10,Neighborhood Traffic Issue,900 TOUCHSTONE RD,,"Integration, Citysourced",7/17/2017 11:35,CLOSED,2463221.27,7095053.26,33.12231619,-96.88394943,,,,,,,,
333667,7/18/2017 1:59,Neighborhood Traffic Issue,18000 FM 423,,"Integration, Citysourced",7/25/2017 6:13,CLOSED,2463813.95,7128145.79,33.21323803,-96.88034721,,,,,,,,
333893,7/19/2017 1:30,Neighborhood Traffic Issue,Neighborhoods around Wester & Gunstream schools,,Staff,8/27/2018 3:16,CLOSED,2496482.26,7102927.75,33.1425036,-96.77489603,,,,,,,,
334373,7/21/2017 4:46,Neighborhood Traffic Issue,11300 CEDAR SPRINGS DR,,"Integration, Citysourced",7/26/2017 1:43,CLOSED,2494473.04,7119108.79,33.18706318,-96.78059446,,,,,,,,
334384,7/21/2017 11:19,Neighborhood Traffic Issue,11900 CAPE ROYAL LN,,"Integration, Citysourced",7/25/2017 6:16,CLOSED,2468370.11,7115410.5,33.17804445,-96.86609881,,,,,,,,
334654,7/24/2017 6:49,Neighborhood Traffic Issue,6500 SCOTTSDALE WAY,,"Integration, Citysourced",7/26/2017 10:38,CLOSED,2477010.9,7098428.9,33.13100219,-96.83873743,,,,,,,,
335089,7/27/2017 9:21,Neighborhood Traffic Issue,Stonebryck Manor neighborhood(s),,Staff,1/16/2019 2:21,CLOSED,2493773.05,7101007.58,33.13734848,-96.78384887,,,,,,,,
335914,8/1/2017 4:58,Neighborhood Traffic Issue,Stonebrook & Babbling Brook,,Staff,8/1/2017 5:03,CLOSED,2469383.33,7099033.85,33.13299379,-96.86362122,,,,,,,,
335916,8/1/2017 5:06,Neighborhood Traffic Issue,Stonebrook & Babbling Brook,,Staff,8/1/2017 5:18,CLOSED,2469385.42,7099040.1,33.13301088,-96.86361408,,,,,,,,
